word,freq,mean_tf,variance,cv,doc_freq
the,226754843,4724059.229166667,21088276267622.676,0.9720871610159907,48
and,143043039,2980063.3125,9667315205925.213,1.043343821689565,48
of,142595483,2970739.2291666665,9253947799684.053,1.023997724310287,48
be,123311726,2568994.2916666665,7007635260688.915,1.0304397542019317,48
in,98981862,2062122.125,4642617420784.692,1.0448815638137978,48
a,86128769,1794349.3541666667,3373512007809.687,1.0236090747859714,48
to,74333943,1548623.8125,2621221856594.4023,1.045456476468821,48
with,38276953,797436.5208333334,737346480900.9579,1.0768114984769346,48
for,37089181,772691.2708333334,597318433873.9058,1.0002232671351954,48
that,31215271,650318.1458333334,528439641727.2078,1.117819862786964,48
al,29109163,606440.8958333334,714193720909.5933,1.393540301729698,48
et,28908682,602264.2083333334,710487295070.3733,1.399558652968628,48
by,24753971,515707.7291666667,306268832542.69745,1.073118695570674,48
this,20119772,419161.9166666667,185750979443.9514,1.02821453460183,48
on,19955073,415730.6875,197574650685.46484,1.0691866510668133,48
have,19077185,397441.3541666667,176484991489.56207,1.0570142330584649,48
study,17815683,371160.0625,167295857759.8086,1.101999391750962,48
use,16758854,349142.7916666667,124636424644.28992,1.0111589051656626,48
or,16683830,347579.7916666667,140744085577.28992,1.079345681663268,48
from,16181675,337118.2291666667,122139152759.13496,1.0366811804340612,48
figure,15622207,325462.6458333333,141687478929.02042,1.1565504601900265,48
cell,15611494,325239.4583333333,696991658632.4567,2.5669095232660677,48
at,13391758,278994.9583333333,86070371077.78995,1.0515513430149734,48
s,13247918,275998.2916666667,85365555486.28992,1.0586074387140718,48
it,12696492,264510.25,73149107487.39583,1.0224969230741396,48
p,11595992,241583.16666666666,70445640648.22223,1.0986526101465013,48
an,11028558,229761.625,57547296649.609375,1.044082867300947,48
not,10570294,220214.45833333334,59758368995.74827,1.1100781089709166,48
which,10261101,213772.9375,49241251162.01693,1.0380345638736015,48
we,10115969,210749.35416666666,53664466814.06207,1.0992011066719756,48
patient,10052894,209435.29166666666,127250472746.16493,1.7032556424581413,48
c,9874680,205722.5,74830263036.375,1.3297097174035113,48
analysis,9518870,198309.79166666666,47991494712.12327,1.1046837865436516,48
high,9517519,198281.64583333334,43493538579.937065,1.0517919831934532,48
between,9386581,195553.77083333334,45781284411.00998,1.0941523352298148,48
show,9354364,194882.58333333334,43730018050.15972,1.0730421959991636,48
these,9137673,190368.1875,41625410352.31901,1.0717287692057458,48
data,8922694,185889.45833333334,29069883941.331593,0.9172059999500033,48
can,8894825,185308.85416666666,33767536619.49957,0.9916388181751887,48
group,8598449,179134.35416666666,42640657632.22873,1.152744515771909,48
result,8479172,176649.41666666666,32719150830.493057,1.0239737046981854,48
b,8464945,176353.02083333334,67862387185.77041,1.4771740275314638,48
model,7841939,163373.72916666666,24115548978.07249,0.9505311506684828,48
their,7757093,161606.10416666666,47517473525.75999,1.348866316854073,48
also,7535333,156986.10416666666,29325670236.38499,1.0908442867601578,48
t,7425013,154687.77083333334,78620682365.96832,1.812643606013453,48
level,7382432,153800.66666666666,31777299449.76389,1.1590449399171656,48
effect,7090311,147714.8125,36707614276.94401,1.2970419786239054,48
may,6959383,144987.14583333334,24368526447.37456,1.0766762510250851,48
table,6858660,142888.75,22084878865.354168,1.040038637690744,48
all,6804181,141753.77083333334,21012728442.926647,1.0226019192112672,48
e,6785805,141370.9375,23727105464.85026,1.089587826238962,48
increase,6621121,137940.02083333334,19893656876.603733,1.0225087291412398,48
include,6519788,135828.91666666666,19890882399.20139,1.0383285317742619,48
gene,6481459,135030.39583333334,73425315020.82248,2.006741205981287,48
m,6225691,129701.89583333333,21242448317.718315,1.123714438224168,48
more,6137522,127865.04166666667,24955326763.456593,1.2354631774676006,48
i,5832826,121517.20833333333,15253043036.998262,1.0163433831987954,48
such,5748308,119756.41666666667,15936080660.284723,1.0541246448013901,48
g,5657635,117867.39583333333,19905261546.822483,1.1969892659873387,48
research,5652605,117762.60416666667,20900159605.15581,1.227629738455212,48
d,5572148,116086.41666666667,15217470011.534723,1.0626489602132936,48
time,5553632,115700.66666666667,12725273266.430555,0.9749844681313307,48
base,5403918,112581.625,11441781316.234375,0.9501218561563258,48
h,5360983,111687.14583333333,20297733822.666233,1.2756178383769246,48
n,5321264,110859.66666666667,13638980582.847221,1.0534583919799363,48
other,5311904,110664.66666666667,14576434246.430555,1.0909796975743034,48
expression,5303712,110494.0,44028071724.25,1.899005125274489,48
low,5286748,110140.58333333333,12008429212.118057,0.9949373368479624,48
treatment,5245106,109273.04166666667,26416870705.164932,1.4873995756735536,48
than,5167247,107650.97916666667,13780310339.7704,1.0904644572664755,48
after,5127900,106831.25,15134639692.6875,1.1515630814383948,48
different,5115664,106576.33333333333,13969258305.888891,1.108985580619034,48
sample,5082355,105882.39583333333,16897446031.44748,1.227684504584668,48
significant,5037441,104946.6875,13756919609.548178,1.1176140799934768,48
two,5004568,104261.83333333333,13066054488.805557,1.0963440784004614,48
control,4952657,103180.35416666667,14196111550.3954,1.154749246125603,48
factor,4857057,101188.6875,14955197963.88151,1.208548601977689,48
protein,4817923,100373.39583333333,27526627405.40581,1.6529430270192225,48
test,4765483,99280.89583333333,11960351931.468317,1.1015552691191681,48
our,4691192,97733.16666666667,10705745701.013887,1.058684344563662,48
no,4638426,96633.875,10052192612.276041,1.0375308186543977,48
